功能模块,大模型返回功能名称,指令关键词/指令内容,预期操作/响应,示例语句,备注说明,输出msg,输出result,和预期操作匹配程度
,返回家庭医生音频通话+医生姓名,打电话给【XXX医生】、给【XXX医生】打电话,通过家庭医生打语音给【XXX医生】,“帮我给AAA医生打个电话”,,好的，我现在就为您拨打AAA医生的电话，请稍等片刻。,家庭医生音频通话,匹配
,返回家庭医生音频通话+医生姓名,打视频给【XXX医生】、给【XXX医生】打视频,通过家庭医生打视频给【XXX医生】,“帮我打视频给AAA医生”,,好的，我现在就帮您拨打与AAA医生的视频通话，请稍等。,家庭医生视频通话,匹配
相册,小雅相册,相册、照片、生活照,打开相册,“我想看看最近的照片”、“打开相册”,,好的，我这就为您打开小雅相册，您可以查看最近的照片啦~ || 好的，我这就为您打开小雅相册。,小雅相册 || 小雅相册,匹配||匹配
小雅通话,小雅通话,联系家人/亲友、电话+家人/亲友、视频+家人/亲友、小雅通话,打开小雅通话,“我想联系家人”、“跟家人打电话”、“打开小雅通话”,,好的，我这就帮您联系家人，您稍等一下~ || 好的，我这就帮您拨打家人的电话，让您和家人畅快沟通~ || 小雅通话已为您打开，现在您可以进行语音通话啦~,小雅通话 || 小雅通话 || 小雅通话,匹配||匹配||匹配
,小雅音频通话+亲友姓名,打电话+【亲友姓名】,通过小雅通话打电话给【亲友姓名】,“打电话给大儿子小星”,,好的，我现在就帮您拨打大儿子小星的电话。,小雅音频通话,匹配
,小雅视频通话+亲友姓名,打视频+【亲友姓名】,通过小雅通话打视频给【亲友姓名】,“打视频给小儿子轩轩”,,好的，正在为您发起与小儿子轩轩的视频通话，请稍等片刻~,小雅视频通话,匹配
小雅家政,小雅家政,小雅家政、预约服务、服务预约,,“打开小雅家政”、“我要预约服务”、“我要做服务预约”,,好的，小雅家政已为您打开，有任何家政相关需求都可以随时告诉我哦~ || 好的，请问您需要预约小雅家政的哪类服务呢？比如保洁、家电清洗等，我会为您详细介绍并协助预约。 || 您好！我已为您进入小雅家政服务预约流程，请问您需要预约哪些服务项目呢？,小雅家政 || 小雅家政 || 小雅家政,匹配||匹配||匹配
,"1、用户描述家电维修，返回家电维修
2、用户描述房屋维修，返回房屋维修
3、用户描述水电维修，返回水电维修
4、用户描述母婴服务，返回母婴服务
5、用户描述家政服务，返回家政服务
6、用户描述中医足道，返回用户描述",【具体的服务（如：家电维修、房屋维修、水电维修、母婴、家政）】,打开小雅家政对应的服务页面,“给我预约做饭服务”、“帮我预约护理服务”、“我要找人做家电维修”,,好的，我已为您预约做饭服务，相关安排将由小雅家政团队为您跟进。您需要提供具体的时间、地点和饮食偏好等信息，以便他们更好地为您服务哦。 || 好的，我已为您记录预约护理服务的需求。为了更好地为您安排，请您告知具体需要的护理类型（如居家护理、康复护理等）和预约日期时间，我会协助您对接相关服务。 || 好的，我可以帮您查找家电维修服务。需要您补充一下家电类型和所在区域，以便我更精准地推荐哦。,小雅家政 || 小雅家政 || 家电维修,匹配||匹配||匹配
小雅教育,小雅教育+关键词,我想学【XXX】、我要学【XXX】、打开【XXX】学习,"· 如果在小雅教育资源的标题中含有关键词【XXX】则直接打开对应的教育资源
· 如果找不到对应的资源，则打开小雅教育页面，并回答“我还没有相关知识，您可以先学学别的知识哦”
· 如果找到多个资源，则打开小雅教育过滤出关于【XXX】的资源，并回答“找到多个关于【XXX】的知识，您要学习第几个呢？”",“我想学广场舞”、“我想学八段锦”、“打开二胡学习视频”,"多个资源时，如果用户回复了第几个，则打开对应的第几个资源
用户说：“打开二胡学习视频”，大模型理解错误，返回错误，返回“小雅视频通话”",好的！广场舞是很适合的运动呢，小雅可以为你推荐一些基础的广场舞教学视频和动作分解，你想先了解哪些舞种或者基础动作呀？ || 好的！八段锦是很适合居家练习的养生功法，能帮助调理身体。我可以为你介绍八段锦的基本动作和练习要点，你想先了解哪个动作的做法，或者需要整体的练习指导吗？ || 抱歉，我目前无法直接打开二胡学习视频呢。不过你可以通过手机或电脑上的视频平台（如B站、抖音等）搜索“二胡学习”，就能找到很多专业的教学视频啦~,小雅教育 || 小雅教育 || 小雅视频通话,匹配||匹配||不匹配
小雅娱乐,娱乐,娱乐、游戏,打开小雅娱乐,“我想娱乐一下”、“打开小雅娱乐”、“我想玩游戏”,,好的，你可以看看喜欢的电影、听首轻松的歌，或者玩一局益智小游戏来放松一下哦~ || 好的，小雅娱乐已为您打开，希望您能享受愉快的时光~ || 好的，我们来一起找个有趣的游戏玩吧！你喜欢什么类型的游戏呢？比如解谜、冒险还是休闲类的？,娱乐 || 娱乐 || 娱乐,匹配||匹配||匹配
,小雅曲艺,听戏、打开戏曲,打开小雅戏曲，并回复“请选择要播放的戏曲”,“打开戏曲”、“我想听戏”,,好的，我这就为您打开小雅曲艺，为您播放戏曲内容。 || 好的，为您播放小雅曲艺，希望您听得开心~,小雅曲艺 || 小雅曲艺,匹配||匹配
,返回小雅曲艺与戏曲名,打开/听+【戏曲名】、来一首【戏曲名】、放一首【戏曲名】,"· 如果存在对应【戏曲名】，直接播放该戏曲；
· 如果不存在对应【戏曲名】，则打开听戏曲页面，并回复“我还有没有该戏曲，您可以先听听别的戏曲哦”",“我想听穆桂英挂帅”,如果戏曲名在音乐中也存在，需进一步追问“同时存在【XXX】的戏曲和音乐，请问想听哪个呢？”，用户回答音乐则播放对应音乐，用户回答戏曲则播放对应戏曲,好的，我这就为您播放《穆桂英挂帅》的戏曲内容，您可以放松聆听~,小雅曲艺,匹配
,小雅音乐,听音乐、打开音乐、播放音乐,打开小雅音乐，并回复“请选择要播放的歌曲”,“我想听音乐”,,好的，我这就为您播放音乐~ 您想听什么风格的呢？,小雅音乐,匹配
,返回小雅音乐与音乐名,打开/听+【音乐名】、来一首【音乐名】、放一首【音乐名】,"· 如果存在对应【音乐名】，直接播放该戏曲；
· 如果不存在对应【音乐名】，则打开听戏曲页面，并回复“我还有没有该音乐，您可以先听听别的音乐哦",“来一首生日快乐歌”,如果音乐名在戏曲中也存在，需进一步追问“同时存在【XXX】的戏曲和音乐，请问想听哪个呢？”，用户回答音乐则播放对应音乐，用户回答戏曲则播放对应戏曲,好的，我这就为您播放生日快乐歌🎶，祝您或身边的人生日快乐！,小雅音乐,匹配
,小雅听书,听书,打开听书页面,“我想听书”、“打开小雅听书”,,好的，小雅听书这就为您开启，您想听哪类书籍呢？ || 好的，小雅听书这就为您打开~,小雅听书 || 小雅听书,匹配||匹配
,斗地主,斗地主,打开斗地主,“我想斗地主”,,好的，马上为您开启斗地主游戏~ 另外，今天长沙有雨，出行记得带好雨具哦。,斗地主,匹配
,中国象棋,象棋,打开中国象棋,“我要下象棋”,,好的，我们现在开始下中国象棋吧！你想执红棋还是黑棋呢？,中国象棋,匹配
,关闭音乐,,,关闭音乐,,好的，音乐已经为您关闭了。,关闭音乐,匹配
,关闭听书,,,关闭听书,,好的，已为您关闭听书功能。,关闭听书,匹配
,关闭戏曲,,,关闭戏曲,,已为您关闭戏曲播放，需要其他帮助随时告诉我哦。,关闭戏曲,匹配
小雅陪伴,语音陪伴或聊天,聊天、聊一会、聊聊,打开小雅聊天,“我想聊天”、“我要聊天”、“小雅陪我聊天”、“小雅陪我聊一会儿”、“小雅陪我聊聊”,,好呀😊 我在这里陪你聊天，你想聊点什么呢？ || 好呀😊 我们来聊聊吧~你最近有什么有趣的事情想分享吗？ || 好呀，我在这里陪你聊天呢~ 你今天有什么有趣的事情想分享吗？或者有什么小烦恼想聊聊？ || 好呀~我在这里陪你聊天呢，你想聊点什么话题呀？😊 || 好呀😊 我在这里陪你聊天，你想聊点什么呢？比如今天的心情、有趣的事，或者随便聊聊都可以~,语音陪伴或聊天 || 语音陪伴或聊天 || 语音陪伴或聊天 || 语音陪伴或聊天 || 语音陪伴或聊天,匹配||匹配||匹配||匹配||匹配
小雅商城,商城,商城,打开小雅商城,“打开小雅商城”,,好的，正在为您打开小雅商城。,商城,匹配
,数字健康机器人,机器人、购买小雅,打开小雅商城的数字健康机器人页面,"""我要购买数字健康机器人""、""我要购买健康机器人""、""我要购买机器人""",,您好呀！很高兴能成为您的家庭管家和健康伴侣~ 我随时准备为您提供数字健康相关的服务，您可以说说具体的需求，比如健康监测、生活管理等方面，我会尽力帮您解答和规划哦。 || 您好！我是中南小雅数字健康机器人，很乐意为您提供家庭管家与健康伴侣服务。若您想进一步了解产品详情或购买方式，欢迎随时告诉我哦~ || 您好！您想购买的是中南小雅数字健康机器人，它集家庭管家与健康伴侣功能于一身，能为您的生活和健康提供贴心支持。如果您需要了解具体型号、配置或购买渠道，随时告诉我哦~,数字健康机器人 || 数字健康机器人 || 数字健康机器人,匹配
,健康监测终端,监测设备、监测终端、血压计、血氧仪、血糖仪、血脂仪、体重秤、温度计、尿酸检测仪、血红蛋白检测仪、睡眠监测仪,打开小雅商城的健康监测终端页面,"""我要购买健康监测终端设备""、""我要购买监测终端设备""、""我要购买监测设备""",,您好！为了帮您推荐合适的健康监测终端设备，请问您更关注哪些方面呢？比如心率、血压、睡眠监测，还是其他健康指标？ || 好的，我们可以为您推荐适合的健康监测终端设备，比如智能手环、体脂秤或血压计等，您需要哪类设备呢？ || 您需要健康监测终端类的设备吗？可以告诉我您关注的具体类型，比如心率监测、睡眠监测还是其他功能，我会为您推荐合适的产品哦~,健康监测 || 健康监测终端 || 健康监测终端,不匹配||匹配||匹配
,智慧生活终端,智慧生活、智慧终端、智能家居、智能开关,打开小雅商城的智慧生活终端页面,"""我要购买智慧生活终端设备""、""打开智慧生活终端模块或页面""",,您好！我是中南小雅数字健康机器人，很高兴能为您服务。如果您想购买智慧生活终端设备，我可以帮您了解相关产品信息或提供购买建议，您需要具体了解哪类设备呢？ || 好的，我已为您打开智慧生活终端模块。您可以在这里查看和管理家庭设备的智能控制哦。,智慧生活终端 || 智慧生活终端,匹配||匹配
,健康食疗产品,健康食疗产品,打开小雅商城的健康食疗产品页面,"""购买健康食疗产品""、""打开食疗用品""",,好的，您需要购买健康食疗产品，请问您是想了解哪些类型的食疗产品呢？比如针对特定健康需求（如调理脾胃、美容养颜等）的，还是有其他偏好？ || 好的，正在为您打开健康食疗产品专区。长沙今天天气不错，适合外出散步时选购哦。小雅的建议仅供参考，健康饮食需结合个人体质，如有特殊需求可咨询专业人士。,健康食疗产品 || 健康食疗产品,匹配||匹配
,适老化用品,适老化用品,打开小雅商城的适老化用品页面,"""打开适老化产品""、""购买老人用品""",,好的，正在为您打开适老化产品专区。当前长沙天气晴朗，气温18-28℃，注意早晚温差可适当增减衣物。 || 您可以在商城中浏览并购买老人用品，商城里应该有适合老人的各类产品供您选择。,适老化用品 || 商城,匹配||不匹配
,日常生活用品,日常生活用品,打开小雅商城的日常生活用品页面,"""我要买日常生活用品""、""打开日常生活用品页面或模块""",,好的，您需要购买日常生活用品，我会为您提供附近超市或线上购物平台的推荐，方便您快速选购~ || 好的，我已为您打开日常生活用品页面/模块。,日常生活用品 || 日常生活用品,匹配||匹配
,商城主页,商品,打开小雅商城主页,"""我要购买商品""",,好的，我已为您进入商城页面，您可以在这里浏览和选购商品。,商城,匹配
,订单页面,订单,打开小雅商城中我的订单页面,"""查看我的订单""、""打开我的订单""",,好的，我这就为您打开订单页面，请稍等片刻~ || 好的，正在为您打开订单页面，请稍等片刻~,订单页面 || 订单页面,匹配||匹配
